time,user_cpu,sys_cpu,min_fault,virtual_mem,ram_mem,bytes_read,bytes_write,sockets,num_fd,Servlet_1,Servlet_2,Servlet_3,Servlet_4,Servlet_5,Servlet_6,Servlet_7,Servlet_8,Servlet_9,Servlet_10,Servlet_11,Servlet_12,Servlet_13,Servlet_14,Servlet_15,Servlet_16,Servlet_17,Servlet_18,Servlet_19,Servlet_20,Servlet_21,Servlet_22,Servlet_23,Servlet_24,Servlet_25,Servlet_26,Servlet_27,Servlet_28,Servlet_29,Servlet_30,Servlet_31,Servlet_32,Servlet_33,Servlet_34,Servlet_35,Servlet_36,Servlet_37,Servlet_38,Servlet_39,Servlet_40,Servlet_41,Servlet_42,Servlet_43,Servlet_44,Servlet_45,Servlet_46,8445_bytesSent,8445_bytesReceived,8445_requestCount,8445_maxTime,8445_processingTime,8445_errorCount,RequestProcessor_1,RequestProcessor_2,RequestProcessor_3,SQL_source_1,SQL_source_2,SQL_source_3,SQL_source_4,num_8445_requests
2.3772,-0.34715,-0.48557,-0.23889,3.9659,3.7566,-0.015809,-0.28659,0.12414,0.12379,-0.041109,-0.10657,-0.1642,-0.1991,-0.688,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055273,-0.23261,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.015412,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.006268,0.0096658,0.016714,2.9292,0.0094733,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3781,-0.31728,-0.39078,-0.30862,3.9659,3.7566,-0.015809,-0.31258,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.0074804,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.056362,-0.33286,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.35278,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0068352,-0.0059597,0.010686,2.9292,0.013978,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3789,0.011283,-0.13802,-0.018974,3.9659,3.7566,-0.015809,-0.13065,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.66656,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.043252,-0.032099,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.18096,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.17642,0.039673,0.032788,2.9292,0.024401,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3798,0.13076,0.24112,-0.08334,3.9659,3.7566,-0.015809,0.97392,0.061141,0.060751,-0.041109,-0.10657,6.0337,4.3859,-0.022541,-0.14018,-0.082717,-0.088355,1.1273,0.78173,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.049642,-0.0070349,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.2936,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.030153,0.044409,0.091057,2.9292,0.018655,0.11707,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3807,-0.12014,-0.20121,-0.064567,3.9659,3.7566,-0.015809,-0.14365,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.54327,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.050672,-0.057162,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.15641,0,-0.8366,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0068247,0.038277,0.030779,2.9292,0.01539,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3815,-0.30533,-0.296,-0.25498,3.9659,3.7566,-0.015809,-0.29959,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.018712,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055798,-0.25767,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.2505,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0070246,0.0055598,0.016714,2.9292,0.014467,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3824,-0.13806,-0.13802,-0.10211,3.9659,3.7566,-0.015809,-0.13065,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.62572,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.050953,-0.15742,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.058226,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0064781,0.021984,0.022742,2.9292,0.014276,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3833,-0.14404,-0.2644,-0.12089,3.9659,3.7566,-0.015809,-0.22162,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.0087567,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,0.17821,3.9698,-0.033382,-0.036281,-0.022252,-0.022361,-0.053171,-0.13235,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.33232,0,-0.8366,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0073648,0.025307,0.02877,2.9292,0.017274,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3841,-0.29936,-0.39078,-0.21744,3.9659,3.7566,-0.015809,-0.19563,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-1.2246,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.054394,-0.20754,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.099136,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0055266,0.010172,0.014705,2.9292,0.0060989,0.0078208,-0.99913,0.68657,-0.16659,-2.407,2.3139,-1.5582,0.34021,0.18825
2.385,-0.21572,-0.13802,-0.36494,3.9659,3.7566,-0.015809,-0.40355,0.18714,0.18682,-0.041109,-0.10657,-0.1642,-0.1991,0.65313,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.05537,-0.38299,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.050044,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.1837,-0.011225,0.010686,2.9292,0.020338,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
